school_id,time,counter,motor_temp,throttle,Brake_Pedal,Battery_1,Battery_2,IMU_Accel_x,IMU_Accel_y,IMU_Accel_z,IMU_Gyro_x,IMU_Gyro_y,IMU_Gyro_z,ca_AmpHrs,ca_Voltage,ca_Current,ca_Speed,ca_Miles
,2024-04-10 11:32:47.354904,1,,,,,,,,,,,,,,,,
hhs,2024-04-10 11:32:47.881244,2,8655.0,8643,8644,8642.0,8641.0,-0.81,-0.48,9.81,0.01,-0.01,0.0,,,,,
hhs,2024-04-10 11:32:48.403601,3,8654.0,8654,8652,8640.0,8644.0,-0.8,-0.46,9.74,0.01,-0.01,0.0,,,,,
hhs,2024-04-10 11:32:48.927272,4,8652.0,8653,8648,8637.0,8646.0,-0.8,-0.46,9.71,0.01,-0.01,0.0,,,,,
